student_ID,course_ID,semester_ID
1,1,3
1,2,3
1,5,3
1,6,3
1,7,2
1,8,2
1,10,2
1,11,2
1,13,2
1,14,5
1,15,4
1,16,1
2,1,9
2,2,9
2,5,9
2,6,9
2,7,6
2,8,9
2,10,9
2,11,9
2,13,8
2,14,8
2,15,8
2,16,7
3,1,4
3,2,4
3,5,4
3,6,4
3,7,4
3,8,4
3,10,4
3,11,4
3,13,1
3,14,12
3,15,10
3,16,11
4,1,7
4,2,7
4,5,7
4,6,7
4,7,7
4,8,7
4,10,7
4,11,7
4,13,6
4,14,12
4,16,5
5,1,11
5,2,11
5,5,11
5,6,11
5,7,11
5,8,11
5,10,11
5,11,11
5,13,8
5,14,8
5,15,9
5,16,9
6,1,7
6,2,7
6,5,7
6,6,7
6,7,7
6,8,7
6,10,7
6,11,7
6,13,4
6,14,1
6,15,12
6,16,10
7,1,4
7,2,4
7,5,4
7,6,4
7,7,4
7,8,4
7,10,4
7,11,4
7,13,2
7,14,6
7,15,12
7,16,5
