student_ID,course_ID,semester_ID
1,1,3
1,2,3
1,3,3
1,4,3
1,5,3
1,6,3
1,7,2
1,8,2
1,9,2
1,10,2
1,11,2
1,12,2
1,13,21,14,51,15,41,16,1
2,1,9
2,2,9
2,3,9
2,4,9
2,5,9
2,6,92,7,6
2,8,9
2,9,9
2,10,9
2,11,9
2,12,9
2,13,8
2,14,8
2,15,82,16,73,1,4
3,2,4
3,3,4
3,4,4
3,5,4
3,6,4
3,7,4
3,8,4
3,9,4
3,10,4
3,11,4
3,12,63,13,13,14,123,15,103,16,114,1,74,2,7
4,3,7
4,4,7
4,5,7
4,6,7
4,7,7
4,8,7
4,9,7
4,10,7
4,11,7
4,12,6
4,13,64,14,124,16,5
5,1,11
5,2,11
5,3,11
5,4,11
5,5,11
5,6,11
5,7,11
5,8,11
5,9,65,10,11
5,11,11
5,12,125,13,85,14,85,15,95,16,96,1,7
6,2,7
6,3,7
6,4,7
6,5,7
6,6,7
6,7,7
6,8,7
6,9,7
6,10,7
6,11,7
6,12,7
6,13,46,14,16,15,126,16,107,1,47,2,47,3,47,4,47,5,4
7,6,4
7,7,4
7,8,4
7,9,4
7,10,4
7,11,4
7,12,1
7,13,2
7,14,6
7,15,12
7,16,5
8,1,48,2,48,3,48,4,48,5,4
8,6,4
8,7,4
8,8,4
8,9,4
8,10,4
8,11,4
8,12,6
8,13,8
8,14,10
8,15,7
8,16,5
9,1,5
9,2,59,3,59,4,5
9,5,5
9,6,5
9,7,5
9,8,5
9,9,5
9,10,5
9,11,5
9,12,5
9,13,5
9,14,3
9,15,4
9,16,1
10,1,1110,2,12
10,3,1210,4,11
10,5,11
10,6,11
10,7,11
10,8,11
10,9,11
10,10,11
10,11,11
10,12,11
10,13,11
10,14,11
10,15,11
10,16,11
11,1,1111,2,12
11,3,1211,4,11
11,5,11
11,6,11
11,7,11
11,8,11
11,9,11
11,10,11
11,11,11
11,12,11
11,13,11
11,14,11
11,15,11
11,16,11
12,1,1112,2,12
12,3,1212,4,11
12,5,11
12,6,11
12,7,11
12,8,11
12,9,11
12,10,11
12,11,11
12,12,11
12,13,11
12,14,11
12,15,11
12,16,11
13,1,1113,2,12
13,3,1213,4,11
13,5,11
13,6,11
13,7,11
13,8,11
13,9,11
13,10,11
13,11,11
13,12,11
13,13,11
13,14,11
13,15,11
13,16,11
